yr,mo,dy,date,st,mag,inj,fat,slat,slon,elat,elon,len,wid
1950,5,14,14/05/1950,TX,1,0,0,29.53,-95.45,0,0,1,100
1950,5,15,15/05/1950,FL,1,0,0,28.58,-81.37,0,0,0.1,10
1950,5,15,15/05/1950,FL,2,0,0,28.5,-81.37,0,0,0.1,10
1950,5,15,15/05/1950,TX,2,0,0,29.78,-98.83,29.67,-98.57,18,10
1950,5,16,16/05/1950,KS,2,0,0,37.55,-98.42,0,0,0.2,200
1950,5,16,16/05/1950,OK,1,1,0,35.82,-99.12,35.87,-99,7.3,100
1950,5,18,18/05/1950,KS,0,0,0,39.85,-98.3,0,0,0.1,10
1950,5,18,18/05/1950,KS,3,2,0,38.12,-96.82,38.33,-96.82,14.9,100
1950,5,18,18/05/1950,NE,1,0,0,40.22,-100.63,0,0,0.7,333
1950,5,19,19/05/1950,KS,0,0,0,37.82,-96.85,0,0,0.1,10
1950,5,22,22/05/1950,OK,1,0,0,35.67,-99.23,0,0,1.5,100
1950,5,23,23/05/1950,KS,0,0,0,39.75,-99.32,0,0,0.2,250
1950,5,24,24/05/1950,KS,1,0,0,39.38,-96.97,39.45,-96.78,10.7,40
1950,5,24,24/05/1950,KS,2,1,0,37.27,-99.48,37.28,-99.42,3.6,77
1950,5,24,24/05/1950,OK,2,2,0,36.45,-99.03,0,0,1,33
1950,5,25,25/05/1950,TX,1,0,0,32.67,-101.88,32.65,-101.85,3,880
1950,5,29,29/05/1950,LA,1,13,0,32.1,-93.9,0,0,1,27
1950,5,29,29/05/1950,LA,1,0,0,31.67,-93.7,0,0,1,27
1950,5,29,29/05/1950,OK,1,0,0,36.38,-95.27,0,0,1,33
1950,5,29,29/05/1950,TX,1,0,0,33.35,-96.92,33.3,-96.92,3.4,267
1950,5,30,30/05/1950,GA,1,0,0,34.75,-84.92,0,0,0.5,10
1950,5,31,31/05/1950,NC,1,0,0,35.42,-77.25,0,0,0.1,10
1950,6,3,03/06/1950,MS,3,1,2,33.08,-89.58,0,0,2,50
1950,6,4,04/06/1950,GA,0,0,0,33.68,-84.93,0,0,2,200
1950,6,4,04/06/1950,GA,1,1,0,33.85,-84.25,33.85,-84.2,3.3,10
1950,6,5,05/06/1950,TX,1,2,0,29.9,-96.4,29.72,-96.07,23.7,10
1950,6,5,05/06/1950,TX,3,6,0,30.18,-96.4,30.02,-96.05,23.9,67
1950,6,7,07/06/1950,GA,1,0,0,33.03,-84.15,0,0,2,300
1950,6,7,07/06/1950,WY,1,0,0,43.08,-104.5,0,0,0.2,10
1950,6,8,08/06/1950,KS,4,5,1,38.33,-97.93,38.33,-97.6,17.1,700
1950,6,9,09/06/1950,MO,1,0,0,38,-92.22,38.02,-92.17,2.7,220
1950,6,9,09/06/1950,OK,1,0,0,36.8,-97.25,0,0,0.1,100
1950,6,13,13/06/1950,IL,1,0,0,41.95,-89.77,0,0,0.1,10
1950,6,13,13/06/1950,ND,3,0,0,46.8,-97.92,0,0,2,10
